3bd LLP,13 Backfields Lane,BRISTOL,,BS2 8QW,0117 370 7380,,www.3bdarchitects.com,"We are an experienced RIBA architectural practice with a growing team run by three partners with a strong design focus.  Since forming early in 2010, we've had a clear vision for delivering creative, high-quality architecture and adding value to projects. Our diverse and dynamic team of ambitious individuals are design-driven, technically savvy and experienced in contract management. We specialise in contemporary high-quality residential / commercial extensions and new build small or large scale developments."
3BM Limited,London,,,W6 8BJ,03452708260,,www.spaces.3bm.co.uk,"We are an experienced RIBA architectural practice with a growing team run by three partners with a strong design focus.  Since forming early in 2010, we've had a clear vision for delivering creative, high-quality architecture and adding value to projects. Our diverse and dynamic team of ambitious individuals are design-driven, technically savvy and experienced in contract management. We specialise in contemporary high-quality residential / commercial extensions and new build small or large scale developments."
3DReid,1 Hills Place,London,,W1F 7SA,03452716100,,www.3DReid.com,"We are an award-winning architecture practice. Established in 1979, we have over 130 people across 5 UK studios. We provide full architectural services, from masterplanning to interior design.  Our reputation has been built upon providing creative and intelligent architectural solutions that meet their operational brief without compromise. We seek to be proud of everything we do, from concept to delivery.  The success of our practice and the quality of our projects rely solely on the quality of the people we employ. We encourage our people to move across the organisation, work with different colleagues on different projects and share knowledge, resources and ideas. We believe this improves our skills and expertise and enriches the work we produce for our clients. Everybody at 3DReid is here because they are exceptionally good at what they do. We believe in sincerity, openness and opportunity. We encourage all our people to learn, grow and develop with us. Above all we enjoy the process of making good architecture."
3DReid,26 Cross Street,Manchester,,M2 7AQ,0345 271 6100,,www.3DReid.com,
3DReid, 12 Caroline Street,BIRMINGHAM, West Midlands,B3 1TR,0121 212 2221,,www.3DReid.com,"We are renowned for our expertise, innovation and relationship building abilities. Through our 'Knowledge Led Architecture' approach, we aim to educate and inform our clients."
3DReid,36a North Castle Street,EDINBURGH,,EH2 3BN,03452716300,,www.3DReid.com,"Widely experienced in the commercial sector for financial institutions, developers and end-users.    Proven track record, particularly developer led competitions, completed major projects throughout Uk."
3DReid,45 West Nile Street,GLASGOW,,G1 2PT,03452716350,,www.3DReid.com,"Widely experienced in the commercial sector for financial institutions, developers and end-users.    Proven track record, particularly developer led competitions, completed major projects throughout Uk."
3HW Architecture & Design, 74 Hawkins Way,HELSTON, Cornwall,TR13 8FQ,01326 572101,,www.3hwarchitecture.com,"3HW Architecture & Design is an architectural practice with proven experience in design and construction of bespoke housing, schools, commercial and industrial projects, along with considerable experience in domestic refurbishment, alteration and extensions together with all aspects of interior design. Based in Helston, Cornwall, they offer a range of architectural and design services for a variety of projects, from small domestic extensions to large municipal buildings, in the West Country and beyond with over 80 years of experience working in the construction industry. 3HW Architecture & Design’s aim is to develop a personal working relationship with each of their clients so that they can provide them with an unique service, meeting their requirements and exceeding their expectations by delivering excellent, sustainable design solutions on time and on budget."
3S Architects & Designers, Alexander Place 17a Princes Road,RICHMOND, Surrey,TW10 6DQ,020 8332 9966,,www.3s-ad.com,"3s is an established architectural practice and interior design consultancy providing a full range of architectural design services with an innovative approach. The office undertakes residential, commercial and public projects in the UK and abroad with offices in Richmond and Munich.  Our expertise is drawn from working on projects throughout Europe and we use this experience to introduce the best methods, detailing and products to our projects.  The practice brings together talented and experienced architects from the UK and Germany, who are dedicated to producing imaginative, high quality buildings, irrespective of scale."
3W Architecture Limited,Rainville Road,LONDON,,W6 9HA,020 7835 5552,,www.3w.org,"3W are concerned with creating innovative, practical and cost effective solutions, from stategic planning to the finest detail resulting in a suitably crafted product."
42 Architects, Katarina Vastra Kyrkogata 8,Stockholm, Stockholm,11625,0046738424667,,www.42architects.com,"42 is a young architecture and design studio based in Stockholm, Sweden, and with a local branch in the UK. As a practice we are driven by the belief that architecture can enhance our society through excellence in design, coupled with contextual sensibility and a strong understanding of the social, cultural and environmental needs of our times.   The architectural output is driven by inventive ideas and strong concepts. We have established a thorough research methodology within the office, which means that we are able to deal with most types of projects and contexts without a pre-determined style. However, as much as we enjoy grand ideas, we also value the small scale and the intricate, and put great emphasis on achieving high quality detailing, atmosphere and materiality, regardless of the size of project and budget. We are often part of projects from an early stage, where our competence and skills can be used to help define the scope and brief of the project, as well as help secure funding from public and corporate bodies.  We undertake work in sectors such as Arts and Culture, Commercial, Sports & Leisure, Residential and Public projects. Our experience extends from one-off, carefully crafted interior fit-outs to large public buildings and landscape projects in Sweden, UK and the middle east."
4CB ARCHITECTS LLP, 1010 Cambourne Business Park,Great Cambourne, Cambridge,CB23 6DP,01223 597924,,www.4cbarchitects.com,"4CB ARCHITECTS LLP (former marek sekowski architect) have significant experience in both residential and commercial projects, producing innovative designs on time and within budget. The practice provides a comprehensive architectural service for a wide range of building types with a flexible approach to project implementation."
4D Studio Ltd,69-79 Fulham High Street,LONDON,,SW6 3JW,020 7471 8550,,www.4d-studio.co.uk,"“The results were truly spectacular. We were by far the best product on the market” Client  “A great success in every respect and John remains our first port of call on all development projects, large and small” Client  “Considers a design which is built around a Client’s brief whilst maintaining a practical approach to build-ability, cost and programme and always come up trumps in delivering a cost-effective well designed building.” Cost Consultant  “They have always delivered their projects on time and on budget. They have great empathy for the aspirations of both fellow professionals and their clients.” Engineer  “a significant architect with a very special knowledge of design/construction management, with great understanding of briefing, process and outcome’ Consultant “has a way of communicating that is open, honest, straightforward and engaging. My dealings with him have always left me feeling positive and empowered.” Client"
50 Degrees North Architects, 50 Degrees North Architects Willoughby House 439 Richmond Road,TWICKENHAM, Middlesex,TW1 2AG,0208 744 2337,,www.50degrees.co.uk,
51 Architecture,1A Cobham Mews,London,,NW1 9SB,0203 355 1205,,www.51architecture.com,"51 architecture is an award winning architecture practice founded by Peter Thomas and Catherine du Toit. Our work spans a variety of scales and countries, working and collaborating with diverse groups including private individuals, charities, artists and communities. A holistic design philosophy balances crafted, functional detailing with the wider needs of our clients. Design begins with contextual research and we explore architectural opportunities through drawing, model making and continued interaction with a building’s prospective users and stakeholders. As stewards of the natural environment and our client’s resources, we are committed to creating thoughtful and sustainable building solutions. 51 architecture delivers projects that are beautiful, efficient and fit for purpose."
5D Architects Ltd,764 Finchley Road,London,,NW11 7TH,0208 458 4326,,www.5darchitects.org.uk,"The practice has been long established and concentrates on high quality residential projects. Nearly all commissions come through recommendation from previous clients.  Projects are for new houses and major refurbishment of existing properties. The aim is give a personal service and remove the headaches that are involved in working on private homes. The objectives of the practice are to provide light and space to luxury private homes. The need to understand the client’s wishes are paramount and the overall concept of each project is established early in the discussion stage so that the end product is what is desired. The practice has numerous satisfied clients and can provide as many references as may be required. The work is concentrated in the London Boroughs of Barnet, Camden, Kensington & Chelsea and Westminster."
5PA Architects Ltd,3 Southwark Street,London,,SE1 1RQ,020 3371 1622,,www.5pa.co.uk,"The practice has been long established and concentrates on high quality residential projects. Nearly all commissions come through recommendation from previous clients.  Projects are for new houses and major refurbishment of existing properties. The aim is give a personal service and remove the headaches that are involved in working on private homes. The objectives of the practice are to provide light and space to luxury private homes. The need to understand the client’s wishes are paramount and the overall concept of each project is established early in the discussion stage so that the end product is what is desired. The practice has numerous satisfied clients and can provide as many references as may be required. The work is concentrated in the London Boroughs of Barnet, Camden, Kensington & Chelsea and Westminster."
5plus Architects London Ltd,25 Chart Street,LONDON,,N1 6FA,020 7253 7644,,www.5plusarchitects.com,"5plus is a creative, award winning design studio operating as one practice across offices in Manchester and London. We deliver core services of Architecture, Masterplanning, Urban Design, Interiors, Graphics and Branding.  We are founded on collaborative principles that are close to our hearts. We wanted to find a better way of working, a better way of delivering the best buildings and the best urban design solutions.  Collective experiences and knowledge are shared and ideas are created, informed and nurtured to deliver award winning schemes.  No single name above the door, team driven, shared pain and shared glory."
5plus Architects Ltd, 4th Floor The Hive 47 Lever Street,MANCHESTER, Lancashire,M1 1FN,0161 228 0211,,www.5plusarchitects.com,"5plus is a creative, award winning design studio operating as one practice across offices in Manchester and London. We deliver core services of Architecture, Masterplanning, Urban Design, Interiors, Graphics and Branding.  We are founded on collaborative principles that are close to our hearts. We wanted to find a better way of working, a better way of delivering the best buildings and the best urban design solutions.  Collective experiences and knowledge are shared and ideas are created, informed and nurtured to deliver award winning schemes.  No single name above the door, team driven, shared pain and shared glory."
5th Studio,21 Wren Street,LONDON,,WC1X 0HF,020 7837 7221,,www.5thstudio.co.uk,
5th Studio Ltd, Darkroom Unit 8 Dales Brewery Gwydir Street,CAMBRIDGE, Cambridgeshire,CB1 2LJ,01223 516009,,www.5thstudio.co.uk,"5th Studio is a design-led architecture practice with a growing reputation across Europe for its well-considered and energetic approach to architecture and urbanism. Our workload ranges from project values of £40,000 to £100 million, and from furniture design to large-scale urban design.  5th Studio are AJ / Corus 40 Under 40 award-winners  We participate in (and often initiate) high quality projects in a creative and vital way. We seek to create inspired settings for modern life."
74 Architects,waulk mill,Manchester,,M4 6LN,0161 960 0074,,www.74architects.com,"We are seventyfour, a collective of award winning Architects and Designers, working together to provide an exemplar design service to a broad range of interesting clients.   Our team has over over 20 years of experience, gained whilst working for a range of distinguished practices in London, Manchester, Liverpool + Edinburgh. We lend our success, both individually and as a team of creative professionals, to our ability to fully understand the needs and aspirations of our clients.  Our creativity is a fluid thing, born of a rigorous design process developed over the years to ensure that every voice is heard and all members of our team are fully engaged.    We do not have a house style or a top-down design ethos. We are influenced by the attributes of each project and its context, and use a variety of methods to seek the qualities that contribute to a sense of place.   Our design process is about testing options, debating what works and discarding what doesn’t. This process of refinement allows us to explore a wide range of alternatives quickly and openly.   We fight for what is important to our clients and end users.  We can demonstrate how we consistently add value for our clients.  We are straight forward and communicate clearly.  We are approachable and friendly.  We design amazing places, buildings and spaces for the people who use them.  We enjoy what we do and you will enjoy working with us."
7N Architects,7 Randolph Place,EDINBURGH,,EH3 7TE,0131 220 5541,,www.7narchitects.com,"We are a design studio where architecture, masterplanning, urbanism, landscape and social entrepreneurship are woven together in a dynamic approach to environmental regeneration and transformational change.   Our strength lies in an holistic approach to making better places through ideas led strategies that are embedded in their physical, social and economic contexts. An approach that always seeks to unlock the full potential of a project opportunity and deliver added value and wellbeing in their widest sense."
8x8 Limited,4 Kelmore Grove,London,,SE22 9BH,07734 102 854,,www.8x8projects.com,"8x8 is a bespoke consultancy that provides tailored design solutions and management expertise with an emphasis on sports venues and major sporting events.   8x8 was established in 2012 by Pete & Celia Richardson, after Pete’s successful design and delivery of the Horse Guards Parade & The Mall venues for the London 2012 Olympics.   Pete and Celia have a wealth of experience working on high-profile projects from inception to completion. We have a broad knowledge of all aspects of the construction industry with excellent design and technical ability. We have worked for a number of renowned architects, both in the UK and internationally, and with Peter having originally trained and practiced as a structural engineer, embrace a multi-disciplinary approach.    OUR ETHOS  Our philosophy is to constantly scrutinise, challenge, and refine our response to a project, whilst encouraging our clients to contribute fully to the design process, as we consider this to be the most effective way to achieve a considered and appropriate solution.   We are talented and motivated people who share a passion to deliver a high quality service to the most challenging of projects. We work closely with our clients to realise the full potential of each project within its unique boundaries, and our solutions respond to the projects brief without preconceived ideas or ego.   COLLABORATION  In the summer of 2013 WilsonOwensOwens (WOO) and 8x8 came together on a successful bid as design services consultants for Rugby World Cup - England 2015.  The combination of WOO and 8x8 brings together the most influential designers on London 2012’s Venues team, respected in the sporting venue business worldwide because of our experience, understanding of operations, our creativity and our approach."
A & J Architects, Ardnacree School Lane Collingham,WETHERBY, West Yorkshire,LS22 5BD,01937 579 200,,www.aj-architects.com,"A + J Architects have a hands-on, director led approach to all projects.  We are passionate about architecture and how it interacts within the built environment.   Based in Collingham, near Wetherby, we have built up a portfolio of projects in the following sectors:  Healthcare, Education, Residential, Commercial, Retail and Leisure.  We work throughout the Yorkshire and Lincolnshire areas with a number of completed buildings in Leeds, Harrogate, Wetherby, Boston and Grimsby."
A + G Architects Limited, 11 Leicester Road,LOUGHBOROUGH, Leicestershire,LE11 2AE,01509 212310,,www.aandgarchitects.com,A+G architects are committed to producing great design and providing a quality service throughout the design and construction process. We work collaboratively with a wide range of other disciplines to deliver successful projects and we recognise the importance of effective communication. We work on projects within most construction sectors but we do have a particular expertise in the education field.
A B Roger & Young Ltd, 9 MacGregor Street,BRECHIN, Angus,DD9 6AB,01356 622125,,,"This practice has a broad client base embracing the commercial, industrial,  private and public  sectors, a  large percentage  of  work involving residential properties."
A for Architect, 7 Carnarvon Court Bretby,Burton-On-Trent, Staffordshire,DE15 0UA,,,www.aforarchitect.co.uk,MAKE SPACE with A for Architect.   A for Architect is a creative and innovative Architects' Studio based near Burton-on-Trent. We offer a full range of Architectural Services and provide a friendly and personal service.  For more information about A for Architect check out our website.
A J Bunning Architect, Hatherland Mill Lower Washfield,Tiverton, Devon,EX16 9PG,01398 351165,,,MAKE SPACE with A for Architect.   A for Architect is a creative and innovative Architects' Studio based near Burton-on-Trent. We offer a full range of Architectural Services and provide a friendly and personal service.  For more information about A for Architect check out our website.
A M Meri Architects, 52 Fairway Avenue,WEST DRAYTON, Middlesex,UB7 7AN,0189 5444 998,,www.meriarchitects.com,"As architects we invest our time on developing ideas that lead to practical solutions to any given architectural challenges. Our unique design methods and techniques are not only for creating comfortable and pleasant spaces that benefit the society, but also to add lasting values."
A Small Studio Ltd,40 Martell Road,LONDON,,SE21 8EN,020 8133 5675,,www.asmallstudio.co.uk,"We are an architecture, planning & landscape practice based in London. We work with an interdisciplinary network of makers, builders, and designers leading to innovative collaborations. We undertake commissions both small and large and specialise in residential projects. We provide a tailored service: either managing your entire project or specified elements. Our unique process allows us to treat each project differently."
A Squared Architects, 1 Netherconesford 93-95 King Street,NORWICH, Norfolk,NR1 1PW,01603 664379,,www.asquaredarchitects.com,"We are an architecture, planning & landscape practice based in London. We work with an interdisciplinary network of makers, builders, and designers leading to innovative collaborations. We undertake commissions both small and large and specialise in residential projects. We provide a tailored service: either managing your entire project or specified elements. Our unique process allows us to treat each project differently."
A.D.M.S Ltd Architects, 25a Spencer Road,LONDONDERRY, County Londonderry,BT47 6AA,028 71341260,,www.adms-ni.com,"Established in 1990, ADMS Ltd Architects have developed a strong reputation for meeting client requirements, along with consideration to the context of all architectural projects designed. Experienced design team members play an important part in initial feasibility and design studies, negotiating and gaining statutory approvals, and site execution. Combined with AutoCAD based design procedures the practice offers one-on-one commitment to achieving the best possible solution for a wide range of clients. A respect for sustainability, environment and built heritage helps ensure optimum and practical design solutions. Both completed works and ongoing projects within the practice reflect this ethos. As official distributors of Ordnance Survey Northern Ireland, ADMS Ltd can also offer additional mapping service requirements."
A.Nicholls,Rowhill Road,London,,E5 8ED,,,www.anicholls.org,"Alex Nicholls (Sydney, Australia 1985) founded A.Nicholls in 2017 after working for renowned international architecture practices in Australia, Italy, Spain and the United Kingdom.  The office is currently focusing on international competitions for public cultural projects in which it has recently received several awards as well as being engaged in private residential projects in the UK and abroad."
A.P.C. Architects, Burlington House 369 Wellingborough Road,NORTHAMPTON, Northamptonshire,NN1 4EU,01604 619 921,,www.consultapc.co.uk,
A.S.A Architects, A.S.A Architects Petrusha Newport St. Germans,SALTASH, Cornwall,PL12 5NX,07770 421624,,www.asa-architect.co.uk,"ASA is a small practice with a diverse capability engaging in works from specialist extensions and conversions to larger residential, commercial, sports and leisure projects."
A.T.I Ltd,11 Jerusalem Passage,LONDON,,EC1V 4JP,020 7336 1410,,www.a-t-i.co.uk,"ASA is a small practice with a diverse capability engaging in works from specialist extensions and conversions to larger residential, commercial, sports and leisure projects."
A+Studio, 73 Swallowdale Iver Heath,IVER, Buckinghamshire,SL0 0EX,01753 655391,,www.2-hedz.com,"A+Studio provides a full range of services, tailored to the needs of clients with quality of service and end-product  as primary  professional objectives."
A2D Architecture Ltd, 2 Webbs Court Buckhurst Avenue,Sevenoaks, Kent,TN13 1LZ,01732 669 131,,www.a2d.info,"welcome  we are living in the world of the quick fix, temporary, superficial and shocking. we are in danger of believing that this is enough. we seem to have forgotten our right to quality, durability, added value, innovation & excitement. it is time to look more closely . . .    attention to detail"
A449 Ltd,266-268 Portobello High Street,Edinburgh,,EH15 2AT,0131 563 5152,,www.a449.co.uk/,We create buildings that are respectfully and firmly rooted by their context. We love the fact that many of our projects allow the story of an existing building to continue.
AA Architecture Ltd,Miles Platting,MANCHESTER,,M40 8BB,0161 312 1559,,www.aa-architecture.co.uk,"The practice is committed to high quality service in Architecture, sustainability BIM (Building Information Modelling) and 3D visualisation to both private and public clients. We combine innovation and design elegance with practicalities in building consatruction to create high value works of architecture. Our clients range from private home owners to charity organisations, international property owners, developers and financial institutions in the UK and abroad and we pride ourselves in delivering the very best service to all. Our ethos is underpinned by the understanding of our client’s unique needs and ensuring that high value bespoke design is delivered sustainably in association with client. We design fascinating spaces and buildings for the people who use them. You will enjoy working with us."
AAB Architects,25 Bickerton Road,LONDON,,N19 5JT,020 7281 8955,,www.aabarchitects.co.uk,"AAB architects is a chartered practice, based in north London. We design a range of projects at different scales, from public parks through to individual homes, providing full architectural services from inception through to completion, mainly in the educational, residential and leisure sectors. Our clients include local authorities, commercial and private clients, charities and community organisations.   We specialise in work to existing buildings, and are experienced in developing practical strategies for adapting, converting and extending them. Working with other construction professionals we carry out whole building assessments to develop proposals that maximise the potential of existing structures. We also develop site development options appraisals, urban design and landscape projects.  We are keenly aware of the need to create a sustainable built environment, and take active steps to promote the intelligent use of natural and man-made materials and help clients address the need to reduce carbon emmissions and energy use. Where needed we are able to take on an enabling role to assist clients with project planning and fund raising, and know from experience that some projects require a long term commitment to reach fruition.   AAB architects are committed to achieving a high quality of design to create enjoyable and stimulating environments, and to produce durable and affordable buildings."
Aad Architects Ltd, 11-12 South Street Park Hill,Sheffield, South Yorkshire,S2 5AY,01142 759 896,,www.aadarchitects.co.uk,"AAB architects is a chartered practice, based in north London. We design a range of projects at different scales, from public parks through to individual homes, providing full architectural services from inception through to completion, mainly in the educational, residential and leisure sectors. Our clients include local authorities, commercial and private clients, charities and community organisations.   We specialise in work to existing buildings, and are experienced in developing practical strategies for adapting, converting and extending them. Working with other construction professionals we carry out whole building assessments to develop proposals that maximise the potential of existing structures. We also develop site development options appraisals, urban design and landscape projects.  We are keenly aware of the need to create a sustainable built environment, and take active steps to promote the intelligent use of natural and man-made materials and help clients address the need to reduce carbon emmissions and energy use. Where needed we are able to take on an enabling role to assist clients with project planning and fund raising, and know from experience that some projects require a long term commitment to reach fruition.   AAB architects are committed to achieving a high quality of design to create enjoyable and stimulating environments, and to produce durable and affordable buildings."
Aaron Chetwynd Architect Studio LLP, 3 New Stables Ingestre,Stafford, Staffordshire,ST18 0RE,01889 270 013,,www.aaronchetwynd.com,"We specialise in contemporary architecture with an edge in conservation. Our focus is on Contemporary One off Houses. We also have expertise working on offices and commercial space around the UK Including Dior Homme and other Boutique shops. Majority of our work is in London and Staffordshire. We also have international experience working in France, Corsica and Bulgaria.   Please see related projects."
Aaron Evans Architects Ltd,Gay Street,Bath,,BA1 2PH,01225 466 234,,www.aaronevans.com,"We have earned a reputation as an award-winning, design led practice, producing sustainable, contemporary architecture in sensitive and historic contexts, whilst working within commercial constraints."
Abacus Chartered Architects & Designers, 26 Vittoria Street,BIRMINGHAM, West Midlands,B1 3PE,0121 608 3700,,www.abacusarchitects.co.uk,We aim to provide a friendly and efficient service allied to good design and sound construction principles
Abbey Design, Canterbury Innovation Centre University Road,CANTERBURY, Kent,CT2 7FG,01227 250 088,,www.abbey-design.org,We aim to provide a friendly and efficient service allied to good design and sound construction principles
Abbyad Architect, 17 Hornbeam Avenue,Chatham, Kent,ME5 8DB,01634 660 755,,www.abbyad.co.uk,"I gained my Architectural Diploma with Honours at the University of Greenwich. Since establishing the Abbyad Architect Practice in 1995, I have worked with both private and commercial clients across the South East and beyond. Dealing with both modern and historic buildings, I can provide a complete service, which tailors to the needs of the individual or company. I work alone, so you are assured of my personal service. With many years of professional experience, I work with passion and creativity. I provide appropriate, attractive, cost effective building solutions that reflect the needs, aesthetics and budget of my clients both large and small."
Abell Nepp,74 Margaret Street,London,,W1W 8SU,020 7612 1583,,www.abell-nepp.co.uk,"Abell Nepp provides architectural design and consulting on science-based and higher education building projects.  Formed in 2009, we are a highly experienced team providing high-value strategic briefing, laboratory planning, and architectural expertise for complex building projects.   We assist clients by providing up-front services ranging from strategic design and briefing input to scoping and budgeting studies, options appraisals, and business case activities providing projects with a sound and realistic foundation to enable their successful delivery. Abell Nepp has ten staff and a close network of specialists in other dedicated areas of science and technology. Working with our clients and their teams, including lead architects, we are able to flexibly tailor our services to the individual project’s needs in a high-value, cost effective consultancy.  Our Ambition: To create buildings where scientists can excel, inspired by their own discoveries, their colleagues, and their physical surroundings.  Our work with leading universities, research institutes, and technology-led companies shows how we succeed. Vibrant and exciting environments inspire researchers; enhancing collaboration and interaction with their colleagues and surroundings, and achieving potential new multi-disciplinary ways of working. Our task as architects is to understand how scientists want to work and to design the spaces they need within the strictures of site and context. These processes are equally important whether designing new buildings or refurbishing existing buildings."
ABHRA,192b Valley Road,London,,SW16 2XS,02087691082,,www.abhra.co.uk,"Every project is unique. We always look for something inspiring from the outset to create a beautiful, stand-alone design. Many of our projects have been delivered in constrained urban sites, our homes are carefully planned and intricately detailed.  Founded in 2015 by Alex Bilton and Helen Reid, ABHRA brings together combined expertise of the partners from 20 years’ experience of delivering award-winning projects across London and the south east."
ABIR Architects, ABIR Architects Unit 1 Beta House St. Johns Road,HOVE, East Sussex,BN3 2FX,01273 724384,,www.abir.co.uk,"ABIR architects believe passionately in creating a high quality, sustainable architecture.   We are a dynamic and forward looking architectural practice founded on the equality of our architectural ambitions to deliver responsible, design led architecture that is part of its local community.  Olli Blair, Giles Ings and Matthew Richardson have over 65 years experience in the architectural design and construction industry, 30 years of which have been as professionally qualified chartered (RIBA) and registered (ARB) architects and they have won many awards for their architecture.   The directors wide ranging experience in numerous industry sectors including housing, medical, community, education, domestic and retail, allied with experience and expertise in the UK, Europe and the Middle East gives ABIR architects a wide breath and depth of knowledge in thier field."
Abito Architects, No 2 Riversleigh Avenue,Lytham, Lancs,FY8 5QZ,01253 794 206,,www.abitoarchitects.com,"Abito Architects draws from broad, award winning experience, working at senior level within a number of leading UK practices. Creativity, sustainability and cost effectiveness are key aims and these factors drive our approach to each project we undertake. We work closely with our clients to ensure that our architectural solutions meet aspirations. During the challenging economic climate of recent years much of our work has been within existing buildings. Extensions and remodelling of offices, barn developments, private homes and medical practices, often within the context of sensitive conservation areas and listed buildings. The tailored approach required for such projects has proved a natural extension of the practice ethos."
Abode Architects LLP, The Forge 5 Upper Church Lane,FARNHAM, Surrey,GU9 7PW,01252 820030,,www.abode.org.uk,"Abode Architects are very versatile, energetic and enthusiastic young practice. We are based in a converted Blacksmiths Forge in the centre of beautiful Farnham in Surrey.   The practice is currently undertaking the refurbishment of a stunning modernist house in Haslemere and several one-off new build houses in Farnham.  The practice uses 3D CAD modelling for buildings and landscape.   Private clients, developer and goverment department clients enjoy the same highly proffesional and personalised service.   Clients are invited to the office and walkthrough visualisations, queries, changes and discussions, make the design process a very open, enjoyable and interactive one.  In September 2007, we were delighted to be joined by Vivienne Conway, an architects assistant from Australia.   Quality, honesty and design excellence is paramount in all the projects which we undertake."
ABP Chartered Architects, 100 Northwood Road,THORNTON HEATH, Surrey,CR7 8HR,020 8289 0800,,www.abpriba.co.uk,"ABP endeavours to work with all clients as members of the design team, assisting them through the complex requirements of the planning, building and other legal and statutory requirements governing the building process.  ABP believes that the project belongs to the client at the very start, and will work closely with the client to realise the final architectural outcome.   Bernard Humphrey-Gaskin is the head of practice for ABP.   He qualified as an architect in 1987, and has a vast experience in the design and construction on various building types and has worked for notable practices such as RHWL, The Property Services Agency and WS Atkins.  Bernard has run his own architectural business since 1991, and has worked in the educational, commercial and residential sectors.  He also has experience in theatre projects, ecological and green design projects, and as an expert party wall surveyor he is a member of the Pyramus & Thisbe Club."
ABQ Studio, Bentley Wood Knowle Lane Halland,LEWES, East Sussex,BN8 6PR,01825 841414,,www.abqstudio.com,We aim to provide a sensitive and pragmatic response to each project's unique circumstances.
